discography.id,discography.song_name,discography.lyrics,discography.album
7,Half Full Glass of Wine,"Said you wouldn't be home late tonight
I gave up waiting at seventeen past midnight
Now my only company's a half full glass of wine
You leave me no choice but to plot my revenge
You leave me no choice but to plot my revenge
It's been so long since I held your hand
You don't know how hard it can be
I thank god I've been blessed with a patient mind
Because what I want to happen won't happen in a very long time
Now my only company's a half full glass of wine
It's been so long since I held your hand
You don't know how hard it can be",Innerspeaker
8,Desire Be Desire Go,"Feel it come, I don't know how long
It's gonna stay with me, I'll let desire be, desire go
Oh, dare I face the real world
Everyday, back and forth, what's it for?
What's it for? Back and forth, everyday
Everyday, back and forth, what's it for?
I don't know, I'll get out, won't have to check my watch
I don't have the verve to belong to this dead side
Why I ever tried, I don't know
Oh, dare I face the real world
Everyday, back and forth, what's it for?
What's it for? Back and forth, everyday
Everyday, back and forth, what's it for?
I don't know, I'll forget try to desire be, desire go
Feel, feel it come, feel it come
Feel it come, I don't know how long
It's gonna stay with me, I'll let desire be, desire go",Innerspeaker
9,Mind Mischief,"Feels like my life is ready to blow,
Me and my love we'll take it slow
I hope she knows that I'll love her long,
I just don't know where the hell I belong
How optimism led me astray,
Two hundred things I took the wrong way
But I saw her love gauge running low,
I tried to fill but it overflowed
Feels like my life is ready to blow,
Me and my love we'll take it slow
I hope she knows that I'll love her long,
I just don't know where the hell I belong
She remembers my name
Could be blown way out, way out
It's all going to change
She remembers my name
But she was only messing around,
Please, no more playing with my heart
Ooh, go with Mr. Right just for once
Ooh, no more mischief with my mind
Then it all just came out
Guess I'll hold it in next time",Lonerism
10,It Is Not Meant To Be,"I wanted her I wanted her
But she doesn't like the life that I lead
She doesn't like the life that I lead
Doesn't like sand stuck on her feet
Or sitting around smoking weed
I must seem more like a friend in need

And I boast that it is meant to be
But in all honesty I don't have a hope in hell
I'm happy just to watch her move
And in all honesty I don't have a hope in hell
I'm happy just to watch her move

And she doesn't like the friends that I make
Doesn't make friends for friendship's sake
She just gets bored sitting by the lake
Her soul won't surface and her heart won't ache

And I boast that it is meant to be
But in all honesty I don't have a hope in hell
I'm happy just to watch her move

And I thought they could cure his disease
But in all honesty he didn't have a hope in hell
Now we'll never see him move",Innerspeaker
11,Alter Ego,"Said the voice from afar, don't you know it doesn't have to be so hard?
Waiting for everyone else around to agree
Might take too long, might take too long
When it won't be so hard (it won't be so hard)
Well it's true, yes but you won't get far telling me

That you are all you're meant to be
When the one from my dream
Is sitting right next to me
And I don't know what to do, oh alter ego

Get them to love you while they may depending on your words and wealth
The only one who's really judging you is yourself
Nobody else, nobody else
If I could part it wouldn't be so hard (it wouldn't be so hard)
Well it's true, yes but you won't get far telling me

That you are all you're meant to be
When the one from my dream
Is sitting right next to me
And I don't know what to do, oh alter ego",Innerspeaker
12,Lucidity,"I know where you went but I don't know how you got there
I know where you went but I don't know how you got there
Silver tongue hill where you talk up what I'd play down
I would speak up but I wouldn't know what to say
Lucidity, come back to me
Put all five senses back to where they're meant to be
Oh, it's hard to tell, it breaks down
There is a will, there is a way
Wondering around like spare time never knew it
I might suck fizzle or I might just float away
And we'll go running off tonight
High above, where we won't even need to reach the sky
My love, oh, there will be a change in the air
Nobody will be anybody else
Lucidity, come back to me
Put all five senses back to where they're meant to be
Oh, where we'll go, tiptoe
Tread boldly right down to the lair",Innerspeaker
13,Why Won't You Make Up Your Mind?,"Why won't you make up your mind? Give me a sign!
Why won't you make up your mind? Give me a sign!
Am I wasting my time living in my head?
You'll be sorry when I make up mine instead

Why won't you make up your mind? Give me a sign!
Why won't you make up your mind? Give me a sign!
Am I wasting my time living in my head?
You'll be sorry when I make up mine instead",Innerspeaker
14,Solitude is Bliss,"Cracks in the pavement underneath my shoe
I care less and less about and less about you
No one else around to look at me
So I can look at my shadow as much as I please

All the kicks that I can't compare to
Making friends like they're all supposed to

You will never come close to how I feel
You will never come close to how I feel 

Space around me where my soul can breathe
I've got body that my mind can leave
Nothing else matters, I don't care what I miss
Company's okay
Solitude is bliss

There's a party in my head and no one is invited

And you will never come close to how I feel 
And you will never come close to how I feel 

Movement doesn't flow
Quite like it does when I'm alone
I'll be the one who's free
You and all your friends
Can watch me, today

Don't ask me how you're supposed to feel

You will never come close to how I feel 
You will never come close to how I feel 
You will never come close to how I feel 
You will never come close to how I feel",Innerspeaker
15,Expectation,"Everything you ever told me could have been a lie
We may never have been in love
Stuck on thinking that there is always something to lose
Or a hit from above, a hit from above
I don't need what I'm holding on to, I wish I knew but meanwhile

Fluctuations are aching my soul
Expectation is taking it's toll
Fluctuations are aching my soul
'Cause everything you ever told me could have been a lie
We may never have been in love

And then I will escape, I'll never ever have to see
Another disappointed face, no one to please
Every now and then, it feels like, in all of the universe 
There is nobody for me
I told myself I wouldn't care, no I wouldn't care
But when she said she'd come 'round
I combed my hair, yes I checked my hair
Oh, meanwhile, meanwhile, meanwhile

Fluctuations are aching my soul
Expectation is taking it's toll
Fluctuations are aching my soul
Expectation is taking it's toll
Fluctuations are aching my soul
Expectation is taking it's toll
Fluctuations is making me feel old
Expectation is taking it's toll
Fluctuations are aching my soul...",Innerspeaker
16,The Bold Arrow of Time,"Overhead ether flow, moment, colors run
Time so slow, slow
I've never seen the arrow of time fly
So low
And time flows on",Innerspeaker
